DateTime,MapCode,TotalLoadValue
2026-01-21 15:00:00,IE,5127.627
2026-01-21 15:30:00,IE,5161.958
2026-01-21 16:00:00,IE,5226.905
2026-01-21 16:30:00,IE,5362.918
2026-01-21 17:00:00,IE,5466.601
2026-01-21 17:30:00,IE,5625.234
2026-01-21 18:00:00,IE,5639.39
2026-01-21 18:30:00,IE,5558.296
2026-01-21 19:00:00,IE,5459.436
2026-01-21 19:30:00,IE,5363.41
2026-01-21 20:00:00,IE,5250.448
2026-01-21 20:30:00,IE,5135.927
2026-01-21 21:00:00,IE,5025
2026-01-21 21:30:00,IE,4820.332
2026-01-21 22:00:00,IE,4646.734
2026-01-21 22:30:00,IE,4426.814
2026-01-21 23:00:00,IE,4243.628
2026-01-21 23:30:00,IE,4292.012
2026-01-22 00:00:00,IE,4130.832
2026-01-22 00:30:00,IE,4041.996
2026-01-22 01:00:00,IE,3943.283
2026-01-22 01:30:00,IE,3852.819
2026-01-22 02:00:00,IE,3805.665
2026-01-22 02:30:00,IE,3873.275
2026-01-22 03:00:00,IE,3817.527
2026-01-22 03:30:00,IE,3799.291
2026-01-22 04:00:00,IE,3750.035
2026-01-22 04:30:00,IE,3715.824
2026-01-22 05:00:00,IE,3716.568
2026-01-22 05:30:00,IE,3775.904
2026-01-22 06:00:00,IE,3899.608
2026-01-22 06:30:00,IE,4112.378
2026-01-22 07:00:00,IE,4401.36
2026-01-22 07:30:00,IE,4793.49
2026-01-22 08:00:00,IE,4948.031
2026-01-22 08:30:00,IE,5004.298
2026-01-22 09:00:00,IE,5054.802
2026-01-22 09:30:00,IE,5107.198
2026-01-22 10:00:00,IE,5090.111
2026-01-22 10:30:00,IE,5076.175
2026-01-22 11:00:00,IE,5059.331
2026-01-22 11:30:00,IE,5047.806
2026-01-22 12:00:00,IE,5011.609
2026-01-22 12:30:00,IE,5014.625
2026-01-22 13:00:00,IE,5036.745
2026-01-22 13:30:00,IE,4935.44
2026-01-22 14:00:00,IE,4953.032
2026-01-22 14:30:00,IE,4972.527
2026-01-22 15:00:00,IE,5012.827
2026-01-22 15:30:00,IE,5076.351
2026-01-22 16:00:00,IE,5146.558
2026-01-22 16:30:00,IE,5260.229
2026-01-22 17:00:00,IE,5400.929
2026-01-22 17:30:00,IE,5585.158
2026-01-22 18:00:00,IE,5591.131
2026-01-22 18:30:00,IE,5539.469
2026-01-22 19:00:00,IE,5462.358
2026-01-22 19:30:00,IE,5401.487
2026-01-22 20:00:00,IE,5292.95
2026-01-22 20:30:00,IE,5204.796
2026-01-22 21:00:00,IE,5069.148
2026-01-22 21:30:00,IE,4903.69
2026-01-22 22:00:00,IE,4717.95
2026-01-22 22:30:00,IE,4524.155
2026-01-22 23:00:00,IE,4366.663
2026-01-22 23:30:00,IE,4388.688
2026-01-23 00:00:00,IE,4256.592
2026-01-23 00:30:00,IE,4176.574
2026-01-23 01:00:00,IE,4081.018
2026-01-23 01:30:00,IE,4041.343
2026-01-23 02:00:00,IE,3976.373
2026-01-23 02:30:00,IE,4038.264
2026-01-23 03:00:00,IE,3957.588
2026-01-23 03:30:00,IE,3932.34
2026-01-23 04:00:00,IE,3892.594
2026-01-23 04:30:00,IE,3847.06
2026-01-23 05:00:00,IE,3811.092
2026-01-23 05:30:00,IE,3851.178
2026-01-23 06:00:00,IE,3964.794
2026-01-23 06:30:00,IE,4184.811
2026-01-23 07:00:00,IE,4410.721
2026-01-23 07:30:00,IE,4797.241
2026-01-23 08:00:00,IE,4950.719
2026-01-23 08:30:00,IE,4995.899
2026-01-23 09:00:00,IE,5038.979
2026-01-23 09:30:00,IE,5098.217
2026-01-23 10:00:00,IE,5109.69
2026-01-23 10:30:00,IE,5070.883
2026-01-23 11:00:00,IE,5092.856
2026-01-23 11:30:00,IE,5077.84
2026-01-23 12:00:00,IE,5084.326
2026-01-23 12:30:00,IE,5093.582
2026-01-23 13:00:00,IE,5086.029
2026-01-23 13:30:00,IE,5002.289
2026-01-23 14:00:00,IE,4958.343
2026-01-23 14:30:00,IE,4933.283
2026-01-23 15:00:00,IE,4909.959
2026-01-23 15:30:00,IE,4954.604
2026-01-23 16:00:00,IE,4992.708
2026-01-23 16:30:00,IE,5125.266
2026-01-23 17:00:00,IE,5233.565
2026-01-23 17:30:00,IE,5415.583
2026-01-23 18:00:00,IE,5435.321
2026-01-23 18:30:00,IE,5380.702
2026-01-23 19:00:00,IE,5296.258
2026-01-23 19:30:00,IE,5208.147
2026-01-23 20:00:00,IE,5079.831
2026-01-23 20:30:00,IE,4964.288
2026-01-23 21:00:00,IE,4820.135
2026-01-23 21:30:00,IE,4662.329
2026-01-23 22:00:00,IE,4519.072
2026-01-23 22:30:00,IE,4341.669
2026-01-23 23:00:00,IE,4217.418
2026-01-23 23:30:00,IE,4257.766
2026-01-24 00:00:00,IE,4112.786
2026-01-24 00:30:00,IE,4033.385
2026-01-24 01:00:00,IE,3913.485
2026-01-24 01:30:00,IE,3819.968
2026-01-24 02:00:00,IE,3764.71
2026-01-24 02:30:00,IE,3843.526
2026-01-24 03:00:00,IE,3785.518
2026-01-24 03:30:00,IE,3725.893
2026-01-24 04:00:00,IE,3642.55
2026-01-24 04:30:00,IE,3594.661
2026-01-24 05:00:00,IE,3585.703
2026-01-24 05:30:00,IE,3609.398
2026-01-24 06:00:00,IE,3631.566
